row_id,actual,mean,std,lower95,upper95
248,258,208.3162831,9.871063384,188.9689989,227.6635673
217,296,224.6081447,6.602818151,211.6666211,237.5496682
343,113,165.9018788,6.246038759,153.6596429,178.1441148
333,164,176.418652,3.672818413,169.2199279,183.6173761
312,144,134.9995622,4.125848931,126.9128983,143.0862261
192,91,99.22826664,5.661876336,88.13098902,110.3255443
127,109,121.6291428,7.646290669,106.6424131,136.6158725
396,43,78.5566715,6.453360578,65.90808476,91.20525823
304,253,102.2750097,7.701021428,87.18100769,117.3690117
252,91,182.4144054,6.173711042,170.3139318,194.5148791
65,163,169.2609125,6.310993713,156.8913648,181.6304601
10,101,109.0757964,9.192790357,91.05792733,127.0936655
316,220,203.1921048,4.527053578,194.3190798,212.0651298
272,182,151.5952128,6.606614204,138.646249,164.5441766
440,220,211.0570905,4.594178698,202.0525003,220.0616807
139,281,247.6706551,5.387481216,237.1111919,258.2301183
410,209,150.2820937,5.565008761,139.3746766,161.1895109
250,303,261.8331869,6.358542593,249.3704434,274.2959304
289,68,195.6191842,8.178135451,179.5900387,211.6483297
126,99,90.21879825,6.627177221,77.2295309,103.2080656
138,336,269.0885973,6.725362897,255.906886,282.2703086
165,59,89.89947809,4.47693517,81.12468516,98.67427103
231,154,153.0821596,3.538723558,146.1462615,160.0180578
75,42,126.3025646,3.652439364,119.1437834,133.4613457
23,245,283.2213197,10.26256007,263.106702,303.3359375
433,72,82.28088109,7.288838057,67.9947585,96.56700369
186,137,190.2506136,8.986969566,172.6361532,207.8650739
436,48,80.12369079,5.905518468,68.54887459,91.69850698
226,77,94.13370633,6.228395327,81.92605149,106.3413612
188,141,156.0342399,5.300741734,145.6447861,166.4236937
342,178,169.4975921,4.625150007,160.4322981,178.5628861
8,110,172.0532656,5.397362359,161.4744354,182.6320958
357,221,207.4715763,6.867984972,194.0103257,220.9328268
276,283,193.070836,8.488780043,176.4328271,209.7088449
5,97,130.3460626,7.032784407,116.5618052,144.13032
149,126,174.8909438,7.524155747,160.1435985,189.638289
50,155,155.3152317,4.17540626,147.1314354,163.499028
419,42,91.35960763,5.056347616,81.4491663,101.270049
105,53,116.1731676,3.765796413,108.7922066,123.5541286
196,72,104.7711367,4.670773015,95.6164216,113.9258518
113,297,209.4228036,4.961745499,199.6977824,219.1478248
70,48,84.54477014,5.983552422,72.8170074,96.27253289
179,151,159.0270662,4.361503118,150.4785201,167.5756124
369,167,185.7724758,4.542183826,176.8697955,194.6751561
328,78,193.6119981,5.567456259,182.6997839,204.5242124
401,93,95.15749374,6.287398114,82.83419344,107.480794
185,101,178.5641506,6.763592768,165.3075088,191.8207924
112,246,163.6911953,4.693829797,154.4912889,172.8911017
301,65,127.9947879,4.688467184,118.8053922,137.1841836
177,225,215.9527212,6.438440341,203.3333781,228.5720642
322,242,284.634353,12.36825959,260.3925642,308.8761418
370,63,76.6794037,5.658367888,65.58900264,87.76980477
83,210,157.3308379,4.213768193,149.0718523,165.5898236
47,142,125.390803,6.901077646,111.8646908,138.9169152
418,84,107.899805,6.9237395,94.3292756,121.4703344
203,222,191.6740874,4.222141016,183.398691,199.9494838
311,180,175.4317095,7.514402988,160.7034796,190.1599394
208,155,221.3167518,7.571783633,206.4760559,236.1574477
233,90,148.6082662,6.576785803,135.717766,161.4987664
420,146,134.9145708,6.202643372,122.7573898,147.0717519
