row_id,dim1,dim2,external_species
0,15.994006402707418,-15.96741783932189,0
1,18.967516068496014,-23.640011052371037,0
2,13.057293475211447,-24.130785598954215,0
3,-8.7514400480079111,-14.370025516471252,0
4,16.01267681974247,-8.0085703039576845,0
5,13.734692269653271,-2.1742511502552171,0
6,18.889345318028493,-21.131579329040569,0
7,3.277174126673319,-1.704792272386646,0
8,26.524432471396295,-17.951822130384009,0
9,8.694760581694835,-1.8871048223492128,0
10,23.388027074762913,-25.466697936769858,0
11,19.899843564688872,-21.363251060650015,0
12,16.936791425630691,-27.214175153542538,0
13,12.794852682977037,-2.7886929424937614,0
14,12.254767261034747,-4.9370931912435951,0
15,22.362225139721904,-19.852085194963625,0
16,15.611152468822647,-8.9206265164002172,0
17,7.7725004359250622,-2.9524320606851067,0
18,23.023820389267957,-13.911072370940056,0
19,8.6409334251410339,-4.181329095803525,0
20,19.470584464610308,-17.083733260284056,0
21,17.546632029539914,-16.22558761510118,0
22,18.910892485207199,-6.5086734580939014,0
23,16.956122421921382,-14.211365211546521,0
24,19.680343612815779,-21.848193931792707,0
25,19.814247287895768,-6.8706298739631722,0
26,14.123360259935581,-16.488976538774395,0
27,15.904201386989529,-25.93670275199424,0
28,19.851280143377057,-16.776915575940514,0
29,13.476500340431102,-14.622456635731584,0
30,21.246350557048171,-27.398367921576202,0
31,18.320315045100759,-18.917720602518369,0
32,15.808969136897694,-24.949720012112518,0
33,12.976593121228461,-14.607986235532628,0
34,29.365237150737467,-22.969076879497244,0
35,11.389241708342123,-3.4016725757011423,0
36,15.0483426431258,-3.3962221725089985,0
37,13.03397486142946,-16.963907860533865,0
38,19.40787404839957,-15.165665112731672,0
39,0.42392465027078707,-0.5840707792613099,0
40,22.54805391911006,-15.121888852940129,0
41,0.82877143332784697,-7.5357692254610678,0
42,23.22850031031971,-14.813526300061691,0
43,6.0042230241694101,-4.4767119609811727,0
44,25.813825480695474,-26.990275838991895,0
45,0.67649693037564007,-1.3593933284327742,0
46,13.874432816424074,-17.130954520915939,0
47,20.305656788767735,-15.594254793939037,0
48,26.224909938418229,-19.440554566089194,0
49,9.5472936569892202,-2.6318707439318749,0
50,17.447191301448669,-24.880912460419296,0
51,0.43804717668949317,-2.4037371679179858,0
52,26.276712543043772,-18.929788096011141,0
53,4.7131328657508327,-7.4643762948355681,0
54,24.289718113543799,-15.001535112708966,0
55,1.7072398608501751,-6.6205935072382767,0
56,18.044421392587687,-24.30234564806295,0
57,1.6575815612448914,-6.9919176499752309,0
58,26.694732298498824,-28.055940336284021,0
59,16.938670070607085,-8.1006021446614938,0
60,26.359099336924466,-25.706951161631206,0
61,8.8982847291959146,-2.9191410261860131,0
62,21.953583704136015,-22.766492600281829,0
63,-0.28056412982156609,-6.2990028333718238,0
64,26.372030379295889,-27.442785590544712,0
65,-0.20561978785228385,-7.0032424897067607,0
66,29.685206501523542,-23.865411476052014,0
67,1.1677638566622759,-3.2505214404321934,0
68,27.850882434298427,-25.851999353248928,0
69,4.8006427914386371,-4.6260678900291676,0
70,21.198052906981484,-7.5024935862974909,0
71,1.0729901605882159,-5.6477135276009482,0
72,11.347409801179094,-26.423060007046004,0
73,-5.141563530923781,-11.080837974572123,0
74,24.635473558796768,-19.491426120148645,0
75,-2.0233805791162536,-7.2907086225933675,0
76,12.594275782416204,-28.231553691152577,0
77,18.91320115653118,-5.3329419751802112,0
78,23.915717221179708,-23.560584709418748,0
79,3.1147887107135865,-7.5853067804200851,0
80,27.354566289944639,-23.488405691190419,0
81,-3.7837816381432456,-6.2479617613864091,0
82,19.122126664535287,-7.3725740922149434,0
83,17.957764742752591,-3.8571285281481269,0
84,15.848083735559594,-22.676963119474767,0
85,13.521196576371935,-1.2600124075336394,0
86,18.066962305379974,-6.2136648012449376,0
87,19.212460976749831,-10.453741251202867,0
88,16.949434996670416,-5.2662766815715383,0
89,16.510563364549544,-10.129352734373779,0
90,28.628798058243632,-17.862418346200851,0
91,1.9831954100886069,-11.42488472133364,0
92,26.064105004910225,-22.594996550806862,0
