x1,x2,y,p_class0,p_class1,p_class2,y_hat
0.2610000114,-0.2412778611,0,0.9996304181,0.0002436759878,0.0001259058689,0
3.083974677,0.1064293631,1,9.787009726e-05,0.9994983914,0.000403738486,1
0.8806488829,2.359943406,2,0.001271187009,2.702610999e-05,0.9987017869,2
0.4076896732,-0.8813089505,0,0.999476845,0.0005165199036,6.63514315e-06,0
3.322536705,1.111040097,1,1.699883514e-05,0.9705274362,0.02945556496,1
0.2599736002,2.432181506,2,0.005665905588,2.63479025e-06,0.9943314596,2
-0.2522865747,-0.479648346,0,0.999982868,9.605309513e-06,7.526736078e-06,0
4.707091422,-1.54773159,1,6.380067434e-09,0.9999999931,5.681542019e-10,1
1.415419909,2.280683861,2,0.000382619234,0.0002182076839,0.9993991731,2
-1.133993087,-0.532281882,0,0.9999995659,4.053229068e-08,3.935555733e-07,0
3.155945797,1.461498892,1,3.463581236e-05,0.7684530601,0.2315123041,1
1.024839088,2.879558922,2,5.254377091e-05,3.09448621e-06,0.9999443617,2
1.019437931,0.04336336069,0,0.966955186,0.02757128241,0.005473531635,0
2.565583242,0.1130449745,1,0.002404949198,0.9954601059,0.002134944882,1
1.926895464,1.022853728,2,0.03739159391,0.3714824582,0.5911259479,2
-0.4144100869,0.45630493,0,0.9993433929,4.423598544e-06,0.000652183472,0
2.676358537,-1.389781532,1,0.001753460835,0.9982457745,7.646959967e-07,1
1.099018751,2.143317883,2,0.002062103768,0.0001605798864,0.9977773163,2
0.4395278259,-0.3597651291,0,0.9991704208,0.0007141049536,0.0001154742132,0
3.045254926,-0.02118325396,1,0.0001283124659,0.9996321292,0.0002395583313,1
1.685613364,1.015525453,2,0.0948066602,0.2113016973,0.6938916425,2
0.8840816863,-0.4016289813,0,0.9887014772,0.01094626474,0.0003522580336,0
2.50208099,0.003094380003,1,0.003656941295,0.9948465881,0.001496470593,1
1.190216405,1.777946916,2,0.01071105436,0.001341369026,0.9879475766,2
-0.0292561093,0.2869326614,0,0.9990990969,4.59865389e-05,0.0008549165831,0
2.274804437,1.133835292,1,0.005864866803,0.5152415952,0.478893538,1
2.413597977,3.10804466,2,2.329305374e-07,7.817904836e-05,0.999921588,2
-0.1618473419,0.2913218024,0,0.9993941177,2.027458824e-05,0.0005856076699,0
4.125616969,-0.6916336581,1,1.890329968e-07,0.9999995426,2.683194535e-07,1
3.671644105,1.49361167,2,1.720324401e-06,0.9349393026,0.06505897703,1
0.1958814672,-0.07199618434,0,0.9995770932,0.0001697275354,0.0002531792396,0
3.522164868,-0.537931276,1,7.615881805e-06,0.9999884685,3.915627225e-06,1
1.03809924,2.162481165,2,0.002240735818,0.0001202572565,0.9976390069,2
-0.8181534613,0.09411954602,0,0.9999714416,3.332863669e-07,2.822512698e-05,0
3.859067576,1.382756421,1,5.801128709e-07,0.9784665715,0.02153284841,1
2.444156699,1.456849193,2,0.0009745648363,0.2641414008,0.7348840344,2
-0.1427276553,-1.080347958,0,0.9999832236,1.63399135e-05,4.365274765e-07,0
4.388519328,0.1879283525,1,2.998636894e-08,0.9999900404,9.929571152e-06,1
1.309279095,1.829618876,2,0.0057075316,0.001512028598,0.9927804398,2
-0.07590503779,-0.7818619866,0,0.9999708334,2.657185782e-05,2.594707986e-06,0
2.22378697,0.004785234907,1,0.02007099899,0.9763638502,0.00356515084,1
1.604600276,2.958894741,2,5.956766305e-06,1.292108637e-05,0.9999811221,2
0.3613335159,0.04196346942,0,0.9987511599,0.000485329262,0.000763510819,0
2.788326454,-0.7720147358,1,0.000755116049,0.9992327211,1.216289518e-05,1
0.2610891136,2.836805136,2,0.000666627095,3.445309143e-07,0.9993330284,2
0.6504156454,1.254554242,0,0.4696773854,0.001834927005,0.5284876876,2
3.08242206,0.2345040169,1,9.573965827e-05,0.9991299771,0.0007742832637,1
1.485680459,2.630032927,2,4.869238561e-05,4.670556736e-05,0.999904602,2
0.2375345328,-1.689032619,0,0.9998518762,0.000148068666,5.512394655e-08,0
3.782590514,-0.2195860282,1,1.406788597e-06,0.9999900053,8.587931317e-06,1
1.484650831,2.624010201,2,5.04265604e-05,4.7991267e-05,0.9999015822,2
0.1655107496,0.06626782287,0,0.9993746133,0.0001454480385,0.0004799386249,0
1.479344245,-0.7370265902,1,0.7112384118,0.2885007288,0.000260859345,0
2.281550386,3.248819247,2,1.649960669e-07,2.531872707e-05,0.9999745163,2
0.4147419558,0.0985984421,0,0.9981050106,0.0006843279329,0.001210661505,0
2.819542808,-0.04936387051,1,0.0005217843735,0.9990548234,0.0004233922162,1
1.648190412,1.639029247,2,0.005548103759,0.01142130214,0.9830305941,2
0.4158228653,-0.1842767071,0,0.9990843486,0.0006436104341,0.0002720409488,0
3.271274063,0.3723663102,1,2.877625641e-05,0.9991154974,0.0008557263234,1
1.142252356,1.739906847,2,0.01508214118,0.001390815232,0.9835270436,2
0.7387962764,-1.011496333,0,0.996122688,0.003868255062,9.056894508e-06,0
2.488492377,0.3728560033,1,0.003603634271,0.9863787476,0.01001761811,1
