row_id,partition,fold
16438,train,-1
10390,train,-1
6820,train,-1
16872,train,-1
18648,train,-1
12527,train,-1
5002,train,-1
4585,train,-1
6516,train,-1
14402,train,-1
5893,train,-1
18850,train,-1
7975,train,-1
3723,train,-1
10826,train,-1
18781,train,-1
18040,train,-1
11600,train,-1
19622,train,-1
9294,train,-1
3966,train,-1
16144,train,-1
7861,train,-1
17911,train,-1
12242,train,-1
12806,train,-1
17613,train,-1
18493,train,-1
5698,train,-1
5671,train,-1
18628,train,-1
10004,train,-1
7113,train,-1
8666,train,-1
19489,train,-1
1508,train,-1
15923,train,-1
7849,train,-1
62,train,-1
10418,train,-1
3415,train,-1
3776,train,-1
16457,train,-1
9301,train,-1
14122,train,-1
10502,train,-1
10849,train,-1
3317,train,-1
13473,train,-1
6053,train,-1
11095,train,-1
17705,train,-1
10011,train,-1
6293,train,-1
2058,train,-1
7948,train,-1
2389,train,-1
10126,train,-1
5052,train,-1
10093,train,-1
17487,train,-1
4807,train,-1
10192,train,-1
3875,train,-1
9578,train,-1
15307,train,-1
6031,train,-1
1107,train,-1
3740,train,-1
3524,train,-1
13200,train,-1
7303,train,-1
13624,train,-1
17442,train,-1
19394,train,-1
8077,train,-1
6962,train,-1
19769,train,-1
7699,train,-1
6065,train,-1
8201,train,-1
12270,train,-1
3645,train,-1
7608,train,-1
17287,train,-1
574,train,-1
11014,train,-1
16140,train,-1
9535,train,-1
10088,train,-1
4037,train,-1
5509,train,-1
20585,train,-1
14468,train,-1
18292,train,-1
9376,train,-1
17317,train,-1
3811,train,-1
15746,train,-1
5700,train,-1
12668,train,-1
11238,train,-1
14858,train,-1
17189,train,-1
5901,train,-1
192,train,-1
10740,train,-1
14735,train,-1
5047,train,-1
8931,train,-1
13184,train,-1
15943,train,-1
12370,train,-1
4945,train,-1
17788,train,-1
15135,train,-1
19322,train,-1
19957,train,-1
4800,train,-1
2110,train,-1
6824,train,-1
7759,train,-1
14022,train,-1
18168,train,-1
15464,train,-1
4905,train,-1
12853,train,-1
17316,train,-1
14703,train,-1
13018,train,-1
4343,train,-1
18826,train,-1
1356,train,-1
8237,train,-1
3197,train,-1
11860,train,-1
10631,train,-1
358,train,-1
12096,train,-1
2894,train,-1
7755,train,-1
2467,train,-1
12453,train,-1
17775,train,-1
14687,train,-1
12620,train,-1
13215,train,-1
5949,train,-1
8274,train,-1
3435,train,-1
15299,train,-1
20600,train,-1
15708,train,-1
6704,train,-1
18811,train,-1
4450,train,-1
2508,train,-1
10702,train,-1
11162,train,-1
8832,train,-1
13025,train,-1
9167,train,-1
15010,train,-1
18631,train,-1
5352,train,-1
11943,train,-1
596,train,-1
18417,train,-1
1214,train,-1
12772,train,-1
12410,train,-1
5734,train,-1
1016,train,-1
486,train,-1
18567,train,-1
8062,train,-1
5810,train,-1
15722,train,-1
20358,train,-1
17098,train,-1
6061,train,-1
7153,train,-1
10784,train,-1
13143,train,-1
12208,train,-1
10765,train,-1
18770,train,-1
10261,train,-1
16659,train,-1
12993,train,-1
11850,train,-1
10042,train,-1
5640,train,-1
14157,train,-1
7529,train,-1
17652,train,-1
13041,train,-1
11563,train,-1
18500,train,-1
8847,train,-1
8719,train,-1
5088,train,-1
13084,train,-1
2177,train,-1
860,train,-1
5604,train,-1
13817,train,-1
10714,train,-1
9989,train,-1
2472,train,-1
1737,train,-1
9291,train,-1
665,train,-1
20222,train,-1
13596,train,-1
13531,train,-1
5392,train,-1
4685,train,-1
8665,train,-1
1268,train,-1
6271,train,-1
17126,train,-1
16226,train,-1
16333,train,-1
14202,train,-1
18189,train,-1
17941,train,-1
17961,train,-1
2566,train,-1
14521,train,-1
1412,train,-1
5775,train,-1
7885,train,-1
13600,train,-1
13855,train,-1
