row_id,cluster,silhouette,external_species
0,0,0.619369,0
1,0,0.582625,0
2,0,0.591753,0
3,0,0.370362,0
4,0,0.600738,0
5,0,0.586727,0
6,0,0.607415,0
7,0,0.436785,0
8,0,0.548505,0
9,0,0.539131,0
10,0,0.581962,0
11,0,0.569111,0
12,0,0.597707,0
13,0,0.548305,0
14,0,0.430269,0
15,0,0.593461,0
16,0,0.610629,0
17,0,0.439558,0
18,0,0.579966,0
19,0,0.440198,0
20,0,0.580865,0
21,0,0.614359,0
22,0,0.591719,0
23,0,0.59447,0
24,0,0.55782,0
25,0,0.585259,0
26,0,0.634524,0
27,0,0.619149,0
28,0,0.568232,0
29,0,0.596807,0
30,0,0.541307,0
31,0,0.570258,0
32,0,0.622283,0
33,0,0.61535,0
34,0,0.51998,0
35,0,0.503252,0
36,0,0.590418,0
37,0,0.609184,0
38,0,0.612382,0
39,0,0.481022,0
40,0,0.59651,0
41,0,0.57841,0
42,0,0.599231,0
43,0,0.454248,0
44,0,0.552032,0
45,0,0.472326,0
46,0,0.628012,0
47,0,0.592021,0
48,0,0.592915,0
49,0,0.512631,0
50,0,0.621112,0
51,0,0.555337,0
52,0,0.575028,0
53,0,0.510988,0
54,0,0.557816,0
55,0,0.624149,0
56,0,0.608792,0
57,0,0.61372,0
58,0,0.518565,0
59,0,0.598961,0
60,0,0.545842,0
61,0,0.470145,0
62,0,0.565541,0
63,0,0.566531,0
64,0,0.546715,0
65,0,0.568989,0
66,0,0.4419,0
67,0,0.590716,0
68,0,0.513199,0
69,0,0.45081,0
70,0,0.555431,0
71,0,0.611443,0
72,0,0.532173,0
73,0,0.445477,0
74,0,0.553379,0
75,0,0.491397,0
76,0,0.515758,0
77,0,0.598472,0
78,0,0.474473,0
79,0,0.567597,0
80,0,0.540577,0
81,0,0.236502,0
82,0,0.608071,0
83,0,0.515352,0
84,0,0.602753,0
85,0,0.585477,0
86,0,0.591347,0
87,0,0.62189,0
88,0,0.606847,0
89,0,0.636579,0
90,0,0.485892,0
91,0,0.30852,0
92,0,0.53089,0
93,0,0.496974,0
94,0,0.577007,0
95,0,0.320072,0
96,0,0.625968,0
97,0,0.48121,0
98,0,0.455514,0
99,0,0.542636,0
100,0,0.551422,0
101,0,0.335382,0
102,0,0.492484,0
103,0,0.544847,0
104,0,0.586931,0
105,0,0.638951,0
106,0,0.473305,0
107,0,0.591444,0
108,0,0.567556,0
109,0,0.326256,0
110,0,0.398024,0
111,0,0.415379,0
112,0,0.592969,0
113,0,0.50014,0
114,0,0.567506,0
115,0,0.512713,0
116,0,0.553633,0
117,0,0.528652,0
118,0,0.547242,0
119,0,0.633587,0
