row_id,partition,fold
89,train,-1
414,train,-1
326,train,-1
170,train,-1
376,train,-1
356,train,-1
93,train,-1
264,train,-1
408,train,-1
224,train,-1
317,train,-1
286,train,-1
135,train,-1
114,train,-1
69,train,-1
282,train,-1
258,train,-1
128,train,-1
390,train,-1
431,train,-1
309,train,-1
334,train,-1
187,train,-1
385,train,-1
167,train,-1
62,train,-1
88,train,-1
373,train,-1
318,train,-1
202,train,-1
13,train,-1
305,train,-1
59,train,-1
275,train,-1
351,train,-1
422,train,-1
319,train,-1
154,train,-1
361,train,-1
417,train,-1
358,train,-1
166,train,-1
223,train,-1
270,train,-1
337,train,-1
81,train,-1
354,train,-1
215,train,-1
255,train,-1
398,train,-1
268,train,-1
404,train,-1
330,train,-1
3,train,-1
394,train,-1
155,train,-1
108,train,-1
184,train,-1
58,train,-1
427,train,-1
31,train,-1
52,train,-1
28,train,-1
277,train,-1
178,train,-1
20,train,-1
244,train,-1
35,train,-1
424,train,-1
344,train,-1
54,train,-1
174,train,-1
438,train,-1
230,train,-1
372,train,-1
377,train,-1
425,train,-1
46,train,-1
182,train,-1
363,train,-1
382,train,-1
51,train,-1
386,train,-1
412,train,-1
123,train,-1
80,train,-1
168,train,-1
150,train,-1
90,train,-1
163,train,-1
36,train,-1
415,train,-1
392,train,-1
206,train,-1
76,train,-1
429,train,-1
293,train,-1
151,train,-1
380,train,-1
406,train,-1
68,train,-1
53,train,-1
320,train,-1
133,train,-1
0,train,-1
331,train,-1
287,train,-1
140,train,-1
204,train,-1
340,train,-1
407,train,-1
227,train,-1
48,train,-1
391,train,-1
29,train,-1
288,train,-1
109,train,-1
353,train,-1
245,train,-1
73,train,-1
426,train,-1
315,train,-1
190,train,-1
375,train,-1
259,train,-1
119,train,-1
136,train,-1
25,train,-1
395,train,-1
338,train,-1
209,train,-1
99,train,-1
63,train,-1
254,train,-1
38,train,-1
374,train,-1
102,train,-1
191,train,-1
323,train,-1
388,train,-1
400,train,-1
364,train,-1
335,train,-1
349,train,-1
350,train,-1
198,train,-1
55,train,-1
339,train,-1
251,train,-1
236,train,-1
9,train,-1
432,train,-1
281,train,-1
84,train,-1
97,train,-1
142,train,-1
387,train,-1
172,train,-1
91,train,-1
118,train,-1
32,train,-1
11,train,-1
221,train,-1
173,train,-1
381,train,-1
110,train,-1
285,train,-1
6,train,-1
116,train,-1
66,train,-1
367,train,-1
210,train,-1
143,train,-1
137,train,-1
146,train,-1
413,train,-1
164,train,-1
37,train,-1
219,train,-1
384,train,-1
120,train,-1
329,train,-1
1,train,-1
22,train,-1
132,train,-1
346,train,-1
71,train,-1
175,train,-1
379,train,-1
263,train,-1
298,train,-1
359,train,-1
153,train,-1
241,train,-1
200,train,-1
169,train,-1
411,train,-1
77,train,-1
240,train,-1
271,train,-1
220,train,-1
292,train,-1
302,train,-1
87,train,-1
265,train,-1
234,train,-1
235,train,-1
104,train,-1
266,train,-1
24,train,-1
389,train,-1
383,train,-1
125,train,-1
423,train,-1
17,train,-1
129,train,-1
148,train,-1
437,train,-1
278,train,-1
290,train,-1
430,train,-1
280,train,-1
27,train,-1
308,train,-1
64,train,-1
409,train,-1
14,train,-1
201,train,-1
96,train,-1
176,train,-1
355,train,-1
348,train,-1
56,train,-1
180,train,-1
435,train,-1
332,train,-1
199,train,-1
145,train,-1
171,train,-1
45,train,-1
248,test,-1
217,test,-1
343,test,-1
333,test,-1
312,test,-1
192,test,-1
127,test,-1
396,test,-1
304,test,-1
252,test,-1
65,test,-1
10,test,-1
316,test,-1
272,test,-1
440,test,-1
139,test,-1
410,test,-1
250,test,-1
289,test,-1
126,test,-1
138,test,-1
165,test,-1
231,test,-1
75,test,-1
23,test,-1
433,test,-1
186,test,-1
436,test,-1
226,test,-1
188,test,-1
342,test,-1
8,test,-1
357,test,-1
276,test,-1
5,test,-1
149,test,-1
50,test,-1
419,test,-1
105,test,-1
196,test,-1
113,test,-1
70,test,-1
179,test,-1
369,test,-1
328,test,-1
401,test,-1
185,test,-1
112,test,-1
301,test,-1
177,test,-1
322,test,-1
370,test,-1
83,test,-1
47,test,-1
418,test,-1
203,test,-1
311,test,-1
208,test,-1
233,test,-1
420,test,-1
89,cv_train,0
326,cv_train,0
170,cv_train,0
376,cv_train,0
356,cv_train,0
93,cv_train,0
264,cv_train,0
408,cv_train,0
286,cv_train,0
135,cv_train,0
69,cv_train,0
282,cv_train,0
258,cv_train,0
431,cv_train,0
309,cv_train,0
187,cv_train,0
385,cv_train,0
167,cv_train,0
