x1,x2,y,p_class0,p_class1,p_class2,y_hat
-0.4082113129,0.4930345301,0,0.9999741867,2.575547387e-05,5.786994151e-08,0
3.335869679,0.5689181935,1,6.304286514e-14,0.9999989851,1.014931996e-06,1
0.715139507,2.85573116,2,0.0015689192,3.577199715e-14,0.9984310808,2
-0.06968217408,-0.223801484,0,0.9998414875,0.0001585124239,8.359827929e-11,0
2.761312902,0.4828543836,1,1.046258246e-09,0.9999960298,3.969189366e-06,1
2.552836247,2.530990807,2,2.012018596e-10,9.203272887e-10,0.9999999989,2
0.1901347071,1.370493628,0,0.9975895341,6.82722013e-06,0.002403638688,0
2.573476115,-0.9750109279,1,1.758173213e-07,0.9999998242,9.160246585e-13,1
2.463106363,2.371651155,2,1.447671666e-09,1.290527692e-08,0.9999999856,2
0.2638100387,0.4556148358,0,0.999252312,0.0007468643056,8.236994355e-07,0
2.561400844,-0.2220006246,1,1.714702402e-08,0.9999999811,1.793218114e-09,1
1.389295213,3.616655887,2,4.812345031e-07,1.622853146e-20,0.9999995188,2
-0.0330894767,0.9525652846,0,0.9999535647,2.417790074e-05,2.22574039e-05,0
3.924895709,-0.3038089094,1,3.905630564e-19,1,1.143168233e-12,1
2.835486749,2.718110379,2,2.256993843e-12,7.209441157e-11,0.9999999999,2
0.1991690877,0.7424298892,0,0.9997758961,0.0002140141301,1.008977034e-05,0
2.304178418,-0.1817419227,1,7.421922287e-07,0.9999992506,7.227701299e-09,1
1.202598878,2.992895134,2,2.016699896e-05,4.58326293e-15,0.999979833,2
0.2315941493,-0.5960462196,0,0.9996520197,0.0003479802548,3.447497419e-12,0
4.19962905,-0.1576177488,1,9.068831832e-22,1,1.215053314e-12,1
-0.002450842044,2.175756295,2,0.8023054811,1.168892539e-09,0.1976945177,0
0.4542526145,-0.3878221684,0,0.9973621971,0.002637802735,1.630610775e-10,0
2.009745319,0.07928380431,1,3.776297881e-05,0.999961857,3.800429257e-07,1
1.524455882,3.468872429,2,2.108253953e-07,4.819906632e-19,0.9999997892,2
0.02597501759,-0.1359255438,0,0.9997159188,0.0002840808114,3.653078328e-10,0
2.985585131,0.6029003264,1,3.482514323e-11,0.9999923045,7.69545378e-06,1
0.5371048456,4.071696217,2,0.0001651742447,2.744299808e-25,0.9998348258,2
-0.09455234915,-2.183036334,0,0.9999999996,4.108045535e-10,4.360202221e-23,0
1.526352865,-0.2805400256,1,0.01743273492,0.9825672396,2.544849247e-08,1
2.028849667,3.207605473,2,3.269809044e-09,3.416494598e-16,0.9999999967,2
0.0337695754,0.1402622361,0,0.9996909947,0.0003089964518,8.81868839e-09,0
3.864147081,-0.2834435422,1,1.322235163e-18,1,2.009460312e-12,1
1.105259107,2.821750031,2,9.480297433e-05,1.109503115e-13,0.999905197,2
0.6630389901,0.3238543592,0,0.9844982291,0.01549958359,2.187295199e-06,0
2.979241275,-0.7774780777,1,9.492974589e-11,0.9999999999,1.023178469e-12,1
1.763296287,3.358009939,2,2.977630837e-08,8.068687816e-18,0.9999999702,2
0.2147869871,-1.777105644,0,0.9999998394,1.606014397e-07,1.312227816e-19,0
5.220214668,-0.4271062883,1,3.689273547e-32,1,6.901188139e-17,1
1.260955996,2.622728469,2,6.785166779e-05,6.207430353e-12,0.9999321483,2
-0.1843807024,0.5600917914,0,0.9999469069,5.282012513e-05,2.729727659e-07,0
1.690168207,0.002107173179,1,0.002058511041,0.9979410995,3.894492067e-07,1
2.054482733,2.370287921,2,1.385185547e-07,3.839394019e-09,0.9999998576,2
